method,step,x,y,z,azimuth
Greedy,1,-12.0,1.4695761589768238e-15,5.0,180.0
Greedy,2,12.0,0.0,5.0,0.0
Greedy,3,-17.38666487320323,-4.658742811845374,5.0,195.0
Greedy,4,9.18485099360515e-16,15.0,5.0,90.0
Greedy,5,-9.000000000000007,-15.58845726811989,5.0,240.0
Greedy,6,14.488887394336025,3.882285676537811,5.0,15.0
Greedy,7,15.0,0.0,5.0,0.0
Greedy,8,12.99038105676658,7.499999999999999,5.0,30.0
PB-NBV (C++),1,15.0,0.0,5.0,0.0
PB-NBV (C++),2,8.43,-5.42,10.0,327.2
PB-NBV (C++),3,5.12,-7.04,11.7,306.0
PB-NBV (C++),4,6.23,2.53,11.7,22.1
PB-NBV (C++),5,6.41,7.7,8.51,50.2
PB-NBV (C++),6,2.44,-9.78,11.3,283.9
PB-NBV (C++),7,0.955,10.5,8.51,84.7
PB-NBV (C++),8,-1.08,-9.6,12.1,263.5
PB-NBV (Python),1,-8.485281374238575,-8.485281374238566,5.0,225.0
PB-NBV (Python),2,12.0,0.0,5.0,0.0
PB-NBV (Python),3,-8.48528137423857,8.485281374238571,5.0,135.0
PB-NBV (Python),4,-5.999999999999997,10.392304845413264,5.0,120.0
PB-NBV (Python),5,-10.606601717798211,10.606601717798213,5.0,135.0
PB-NBV (Python),6,9.000000000000002,15.588457268119894,5.0,60.0
PB-NBV (Python),7,-9.000000000000007,-15.58845726811989,5.0,240.0
PB-NBV (Python),8,-4.6587428118453715,17.38666487320323,5.0,105.0
